Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","508","Mozambique","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","16.935229","E","Valeur estimée",""
"MK","Indicateurs macro","562","Niger","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","10.870388","E","Valeur estimée",""
"MK","Indicateurs macro","566","Nigéria","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-7.907984","E","Valeur estimée",""
"MK","Indicateurs macro","578","Norvège","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","1.458994","E","Valeur estimée",""
"MK","Indicateurs macro","554","Nouvelle-Zélande","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","11.904017","E","Valeur estimée",""
"MK","Indicateurs macro","800","Ouganda","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-0.171723","E","Valeur estimée",""
"MK","Indicateurs macro","860","Ouzbékistan","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-25.708001","E","Valeur estimée",""
"MK","Indicateurs macro","586","Pakistan","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","8.610326","E","Valeur estimée",""
"MK","Indicateurs macro","600","Paraguay","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","4.686629","E","Valeur estimée",""
"MK","Indicateurs macro","528","Pays-Bas","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","8.890872","E","Valeur estimée",""
"MK","Indicateurs macro","604","Pérou","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","6.285601","E","Valeur estimée",""
"MK","Indicateurs macro","616","Pologne","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","17.294469","E","Valeur estimée",""
"MK","Indicateurs macro","620","Portugal","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","8.892272","E","Valeur estimée",""
"MK","Indicateurs macro","834","République-Unie de Tanzanie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","13.236234","E","Valeur estimée",""
"MK","Indicateurs macro","642","Roumanie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","16.092074","E","Valeur estimée",""
"MK","Indicateurs macro","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","3.734272","E","Valeur estimée",""
"MK","Indicateurs macro","686","Sénégal","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","14.907813","E","Valeur estimée",""
"MK","Indicateurs macro","688","Serbie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-6.363472","E","Valeur estimée",""
"MK","Indicateurs macro","703","Slovaquie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","4.40527","E","Valeur estimée",""
"MK","Indicateurs macro","705","Slovénie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-1.834446","E","Valeur estimée",""
"MK","Indicateurs macro","144","Sri Lanka","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","14.087051","E","Valeur estimée",""
"MK","Indicateurs macro","752","Suède","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","8.255933","E","Valeur estimée",""
"MK","Indicateurs macro","203","Tchéquie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","7.787777","E","Valeur estimée",""
"MK","Indicateurs macro","780","Trinité-et-Tobago","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-1.355881","E","Valeur estimée",""
"MK","Indicateurs macro","894","Zambie","6129","Croissance annuelle US$","22073","Production brute (Agriculture)","2017","2017","%","-26.830917","E","Valeur estimée",""
